"Type","Full Account Name","Account Name","Account Code","Description","Account Colour","Notes","Symbol","Namespace","Hidden","Tax Info","Placeholder"
"EXPENSE","Expenses:Professional Fees:Accounting Fees","Accounting Fees","","Accounting Fees","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Professional Fees:Consulting Fees","Consulting Fees","","Consulting Fees","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Professional Fees:Legal Fees","Legal Fees","","Legal Fees","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Property costs","Property costs","","Rent","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Property costs:Light, heat and power","Light, heat and power","","The total amount of allowable expense of lighting, heat and power incurred.","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Property costs:Rent and rates","Rent and rates","","The total amount of allowable expense of rents and rates incurred.","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Property costs:Repairs, renewals and maintenance","Repairs, renewals and maintenance","","","","The total amount of allowable expense of repairs, renewals and maintenance incurred.","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Sundry expenses (small miscellaneous expenses only)","Sundry expenses (small miscellaneous expenses only)","","The total amount of small or infrequent expenses that you haven't already recorded in another category.","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes","Taxes","","Taxes","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:Capital Gains Tax","Capital Gains Tax","","Capital Gains Tax","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:Corporation Tax","Corporation Tax","","Corporation Tax","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:Interest charged","Interest charged","","Interest Charged on Unpaid Taxes","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:Local Taxes","Local Taxes","","Local Taxes","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:NI Contributions","NI Contributions","","NI Contributions","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:Other Taxes","Other Taxes","","Other Taxes","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:Property Taxes","Property Taxes","","Property Taxes","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Taxes:VAT","VAT","","VAT","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Travel and subsistence","Travel and subsistence","","The total spent on travel and subsistence in the period. Subsistence includes meals and any other necessary costs of travelling, for example, parking charges, tolls, congestion charges or business phone calls.","","","GBP","CURRENCY","F","F","F"
"EXPENSE","Expenses:Vehicle expenses","Vehicle expenses","","The total amount spent on the running costs of vehicles used by the company. Include fuel and maintenance costs.","","","GBP","CURRENCY","F","F","F"
"EQUITY","Equity","Equity","","Equity","","","GBP","CURRENCY","F","F","T"
"EQUITY","Equity:Opening Balances","Opening Balances","","Opening Balances","","","GBP","CURRENCY","F","F","F"
"EQUITY","Equity:Reserves","Reserves","","Reserves","","","GBP","CURRENCY","F","F","F"
"EQUITY","Equity:Retained Earnings","Retained Earnings","","Retained Earnings","","","GBP","CURRENCY","F","F","F"
"EQUITY","Equity:Share Capital","Share Capital","","Share Capital","","","GBP","CURRENCY","F","F","F"
"BANK","Imbalance-GBP","Imbalance-GBP","","","","","GBP","CURRENCY","F","F","F"
"BANK","Orphan-GBP","Orphan-GBP","","","","","GBP","CURRENCY","F","F","F"
